Agros,806,844,Αγρός,ΑΓΡΟΣ
Agridia,104,108,Αγρίδια (τα),ΑΓΡΙΔΙΑ (ΤΑ)
Chandria,162,128,Χανδριά (τα),ΧΑΝΔΡΙΑ (ΤΑ)
Kyperounta,1516,1372,Κυπερούντα,ΚΥΠΕΡΟΥΝΤΑ
Pafos,32892,37297,Πάφος,ΠΑΦΟΣ
Geroskipou,7878,8355,Γεροσκήπου,ΓΕΡΟΣΚΗΠΟΥ
Konia,2209,2754,Κονιά (τα),ΚΟΝΙΑ (ΤΑ)
Agia Marinouda,266,425,Αγία Μαρινούδα,ΑΓΙΑ ΜΑΡΙΝΟΥΔΑ
Acheleia,145,137,Αχέλεια,ΑΧΕΛΕΙΑ
Chlorakas,5356,6421,Χλώρακας,ΧΛΩΡΑΚΑΣ
Lempa,506,454,Λέμπα,ΛΕΜΠΑ
Empa,4855,5505,Έμπα,ΈΜΠΑ
Tremithousa,1041,1171,Τρεμιθούσα,ΤΡΕΜΙΘΟΥΣΑ
Mesa Chorio,586,868,Μέσα Χωριό,ΜΕΣΑ ΧΩΡΙΟ
Mesogi,1689,1856,Μεσόγη,ΜΕΣΟΓΗ
Tala,2695,3100,Τάλα,ΤΑΛΑ
Kissonerga,2004,2292,Κισσόνεργα,ΚΙΣΣΟΝΕΡΓΑ
Kouklia Pafou,892,1211,Κούκλια Πάφου (τα),ΚΟΥΚΛΙΑ ΠΑΦΟΥ (ΤΑ)
Mandria Pafou,893,1114,Μανδριά Πάφου (τα),ΜΑΝΔΡΙΑ ΠΑΦΟΥ (ΤΑ)
Nikokleia,121,133,Νικόκλεια,ΝΙΚΟΚΛΕΙΑ
Souskiou,10,8,Σουσκιού,ΣΟΥΣΚΙΟΥ
Timi,1220,1063,Τίμη,ΤΙΜΗ
